,Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class
PURA,,,,,,-0.22382335257632938,-0.9103176420534976,0.028218933205329786,3.0
INN,,,,,,-0.17809127070683073,-1.640337214838114,0.24778203840225682,3.0
ELLA,,,,,,-0.1429475132994401,-2.0470270468091747,0.3888702976949048,3.0
GBX,,,,,,-0.17819133150500094,-1.640331155131927,0.24778363345371754,3.0
MAG,,,,,,-0.3989279847148188,1.2469518075591348,-0.5403176180278975,0.0
TAU,,,,,,3.7639596197503695,1.802852339740387,0.05122644742821329,0.0
ECA,,,,,,0.19818603087670336,1.494599755770731,-0.5822774269993871,0.0
BCD,,,,,,-0.2815603864671637,1.7744130979869865,-0.6073617359243296,0.0
XSH,,,,,,-0.11957335067481574,-1.8157184006106175,0.3729439169004501,3.0
CNBC,,,,,,-0.33500332168267255,1.0274454721858424,-0.5540626705000828,0.0
XUN,,,,,,1.1368126035112074,-2.337222526246528,0.3699266756985524,3.0
COAL,,,,,,0.30008802306392673,-2.304738074590486,0.3856096391350036,3.0
DAXX,,,,,,-0.06794513208925024,-2.0514443674924676,0.3876586026391999,3.0
BWK,,,,,,-0.3102978635720044,1.2843492807922778,-0.24675388749449656,0.0
KLKS,,,,,,-0.36886053866465923,1.5776836924468607,-0.22275117815091164,0.0
AC3,,,,,,-0.2235651156234174,-0.9104521309654241,0.0282301395917388,3.0
LTHN,,,,,,-0.12442047742918884,-2.2183635299307194,0.4612950659281167,3.0
GER,,,,,,0.07599566069913448,1.0057274802287401,-0.5610233133387496,0.0
LTCU,,,,,,-0.33667894179711294,1.0274315977096662,-0.5540210880290642,0.0
POP,,,,,,-0.08212331334274754,-1.1304685513033104,0.012709924467842072,3.0
PNX,,,,,,-0.39950829725204207,1.2469994466359808,-0.540309978329865,0.0
PHO,,,,,,1.074027205874799,-1.2042795839703986,-0.009163669927816922,3.0
SUCR,,,,,,-0.228246263173495,-0.9102311940678256,0.028312825861542313,3.0
SPK,,,,,,-0.17824320268059715,-1.6403251794767257,0.2477840949039398,3.0
WAGE,,,,,,-0.3680265068536986,1.5776403639153769,-0.22276539907742268,0.0
GUN,,,,,,-0.1712915857963873,-1.640432413038145,0.2476328287399789,3.0
IRL,,,,,,-0.1648604195065307,-1.129740195941872,0.01458091339442638,3.0
TROLL,,,,,,-0.32426389883632256,1.027315620288429,-0.5543009757758594,0.0
LCP,,,,,,-0.3377845714746167,1.0274986591679733,-0.5540034768236864,0.0
MONK,,,,,,-0.3503065752306693,1.0342229197827848,-0.21770503484333437,0.0
PCOIN,,,,,,-0.228171785386957,-0.9102309592289242,0.028311026839065598,3.0
UBTC,,,,,,-0.15293779402163887,-1.3054649181821598,0.1438585713664226,3.0
ITZ,,,,,,-0.20265357738305972,-1.1112785232321587,0.1646333753965717,3.0
TPAY,,,,,,-0.35364181276077317,1.5889584428561137,-0.10139123442223931,0.0
MCT,,,,,,-0.2671249210274777,-0.10244450973748967,0.14288615798286639,0.0
MBC,,,,,,-0.3020908819472426,0.14919829533442322,-0.23773740803630286,0.0
TRTL,,,,,,8.026759332555677,-2.758833918359861,0.2606566711495804,3.0
MUN,,,,,,-0.1568463691061358,-2.3431791253968624,0.5045345160022588,3.0
USX,,,,,,-0.3333367507455396,1.0274862571915357,-0.5541075075411249,0.0
NBR,,,,,,0.3039566659774625,-2.3048385285921964,0.38553071532229855,3.0
SSS,,,,,,0.02688897151904092,-1.1303512964622886,0.01010591457233673,3.0
TRF,,,,,,-0.14305527194674816,-2.144303736417194,0.40517485519788876,3.0
KREDS,,,,,,-0.1870490782593176,-1.187899159042114,0.21601880858947006,3.0
